,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
51.0,2.150056648262094,2.341553833241696,2.34106180555735,2.6196570201666627,2.8686019996201284,2.4363462066685293,2.6154595010818094,0.08799946625735962,0.104874892200306,0.09611394880208393,0.0881566942219285,0.10287605606608419,0.08943356214218,0.08836576954174763
52.0,2.1489170749935456,2.337621492174709,2.3385402809742812,2.6153224202823626,2.8669007431369296,2.4332654378142067,2.612265429909658,0.08846576678533086,0.10545658833803037,0.09666552980213598,0.0885552584806916,0.10327252821206029,0.08984345051310293,0.08869802996390902
53.0,2.1474698721416203,2.333356388876836,2.335640151373836,2.610726607794705,2.864959760269359,2.429830456232397,2.608702028244775,0.08895687296583031,0.10605783482379474,0.09725039344929039,0.08898767847968543,0.10369594109914484,0.09029089012727626,0.08906538143346962
54.0,2.1457273337302727,2.3287712752731955,2.332376178124056,2.6058819827899313,2.862786848524512,2.426058469480998,2.6047877144620504,0.08946932212083103,0.10667839649544332,0.09786749039279842,0.08945359242462302,0.10414806360096288,0.0907760857146772,0.0894681650604995
55.0,2.1437017537834273,2.323878903288928,2.3287631225930183,2.6008009453543073,2.8603898054094463,2.4219666851179613,2.6005409069364056,0.08999958735313507,0.10731803313836503,0.09851577044409618,0.0899526540591372,0.10463072663418886,0.09129927924239614,0.08990676603323193
56.0,2.1414054263250386,2.3186920248491543,2.3248157461487824,2.595495895574084,2.8577764284312535,2.4175723107012077,2.595980024042741,0.09054405884540995,0.10797649917157319,0.09919417849733392,0.09048453283716776,0.10514582247026721,0.09186075173924509,0.0903816128119632
57.0,2.1388506453790486,2.3132233918790193,2.3205488101593974,2.589979233535535,2.854954515097,2.412892553788661,2.5911234841559496,0.09109902597648115,0.1086535431803887,0.09990165054717573,0.0910489139990284,0.1056953032165958,0.09246082423433996,0.09089317569345108
58.0,2.1360497049694067,2.307485756303646,2.3159770759929423,2.584263359324889,2.851931862913743,2.407944621938248,2.585989705650956,0.09166066018511848,0.10934890729327461,0.10063710977904908,0.09164549855329696,0.10628117841508473,0.09309985777070248,0.09144196473393419
59.0,2.133014899120048,2.301491870048156,2.3111153050174607,2.578360673028429,2.8487162693885826,2.4027457227079165,2.5805971069026397,0.09222499855690963,0.11006232640004887,0.10139946270711062,0.09227400315565405,0.10690551171779061,0.09377825243258515,0.09202852700858351
60.0,2.1297585218549044,2.29525448503768,2.3059782586010185,2.5722835747324035,2.8453155320285823,2.39731306365556,2.5749641062859214,0.09278792817470445,0.1107935272060739,0.10218759533688172,0.0929341598621312,0.10757041660963602,0.09449644529659167,0.09265344317024202
61.0,2.1262928671979546,2.288786353197367,2.3005806981116863,2.5660444645230656,2.8417374483408144,2.3916638523391396,2.569109122175697,0.093345171359485,0.11154222711192703,0.10300036933296373,0.09362571571765615,0.10827805115681267,0.0952549071812632,0.09331732325035048
62.0,2.1226302291730996,2.2821002264523185,2.2949373849175045,2.5596557424866724,2.8379898158323584,2.3858152963165766,2.5630505729468753,0.09389227203874999,0.11230813290025124,0.103836618177659,0.0943484321210853,0.10903061176600853,0.0960541380273942,0.09402080161975547
63.0,2.118782901804311,2.2752088567276822,2.28906308038655,2.553129808709498,2.8340804320102753,2.3797846031457923,2.5568068769743526,0.09442458361609474,0.11309093920083445,0.10469514331386927,0.09510208388498884,0.10983032594364597,0.0968946606920505,0.09476453099663039
64.0,2.1147631791155246,2.2681249959485985,2.2829725458868895,2.546479063277787,2.830017094381644,2.373588980384711,2.550396452633053,0.09493725888129695,0.1138903266913108,0.10557471027549643,0.09588645788239791,0.11067944404544895,0.09777701288375774,0.09554917535331886
