,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
65.0,2.114660667058032,2.2499356974690663,2.269622275711921,2.538979668900207,2.8253607982139917,2.3610262906489314,2.53787890532301,0.09545348009704951,0.11522529420327707,0.10727961497649598,0.09738167565410832,0.11152166623976505,0.09947518260642695,0.09708362052731447
66.0,2.110333035801075,2.2425051103564386,2.263143565379003,2.532116500418193,2.8210129454935036,2.3545524313810686,2.531190279368821,0.09591050575507853,0.11606214964773336,0.10820411954051137,0.0982333615253079,0.11247900055910431,0.1004497582067303,0.09795820678675475
67.0,2.105869891295951,2.234920287964737,2.2564929091815484,2.525165720540408,2.816534531487686,2.347965265196689,2.5243901801705495,0.09633176275190446,0.11691465891968553,0.10914588035589168,0.09911535688213227,0.11349277754371515,0.10146797602872214,0.09887581250437426
68.0,2.101283527566603,2.2271939822190916,2.249685068487632,2.5181397293531194,2.8119333537036164,2.3412819996537433,2.517497026103106,0.09671156091527315,0.11778241150374834,0.11010347900231253,0.10002745555863582,0.11456524899312728,0.10253029168653967,0.0998370324125368
69.0,2.096586238636971,2.219338945044643,2.242734804665299,2.5110509269425823,2.807217209648376,2.3345198423101383,2.510529235541399,0.09704403214517017,0.11866496601395307,0.11107544255171634,0.1009694419006279,0.11569863283810161,0.10363709000094164,0.10084241011249256
70.0,2.0917903185309936,2.2113679283665046,2.2356568790826166,2.5039117133950426,2.8023938968290363,2.3276960007238294,2.5035052268603026,0.09732315918270196,0.11956184466169985,0.11206024051942622,0.10194108265693658,0.11689509836052016,0.10478865632534307,0.10189241870911277
71.0,2.08690806127263,2.2032936841098403,2.2284660531076415,2.4967344887967875,2.797471212752663,2.32082768245271,2.4964434184347506,0.09754281770575153,0.1204725265926441,0.11305628228570093,0.10294211695480439,0.11815675008033213,0.10598514272374723,0.1029874382930691
72.0,2.0819517608857954,2.1951289641997307,2.221177088108448,2.4895316532340397,2.792456954926344,2.3139320950547475,2.489362228639637,0.09769683461425076,0.12139643989603026,0.11406191513686491,0.10397224413755152,0.1194856101844272,0.10722652858220963,0.10412772996215049
73.0,2.076933711394478,2.1868865205613335,2.213804745453071,2.4823156067930827,2.7873589208571334,2.307026446087846,2.4822800758498635,0.0977790656199989,0.12233295209025326,0.11507542308966628,0.10503110930489165,0.12088359935174697,0.1085125753981604,0.10531340615378572
74.0,2.0718662068225764,2.178579105119778,2.2063637865095953,2.475098749560154,2.7821849080521286,2.300127943109942,2.4752153784403323,0.09778349539067571,0.12328135890497953,0.11609502666897964,0.106118286501958,0.12235251581313379,0.10984277574931514,0.10654439719618988
