,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
49.0,2.147295684220648,2.359303347519186,2.351978738885797,2.6282374018302668,2.8717075443259645,2.4476063821160587,2.6266363463382,0.08713562231449286,0.10332019975341773,0.09439805282196444,0.08686102655986148,0.10224537873307434,0.08803895966689171,0.08717285793808245
50.0,2.146798985995987,2.3560663587237545,2.350248230829605,2.624454244738915,2.8705025344514694,2.445274900179736,2.6242246363611668,0.08754191527416402,0.10385987194327935,0.09487647005411368,0.08718818641037436,0.10259246511650236,0.08837114014820435,0.08743295766571857
51.0,2.145979336334751,2.3524795318127922,2.348120072631992,2.6203932575442526,2.8690488018596993,2.4425655516108646,2.621418314056654,0.08797911979238257,0.10441932360266486,0.0953897790000834,0.08754947885172946,0.10296336232450311,0.08874021365557362,0.08772723175802717
52.0,2.144839763066206,2.348547190745808,2.34559854804893,2.6160586576599436,2.8673475453764823,2.43948478275655,2.618224242884499,0.08844448334887653,0.10499832748237792,0.09593722821744537,0.08794475345967373,0.10335943290256426,0.08914645520295658,0.08805607417207201
53.0,2.1433925602142736,2.3442820874479366,2.3426984184484763,2.611462845172285,2.8654065625089213,2.4360498011747325,2.6146608412196057,0.08893461299229856,0.10559665993670798,0.0965177664416371,0.08837363582056729,0.10378237246930756,0.0895900320478637,0.08841978568054551
54.0,2.141650021802914,2.3396969738443008,2.3394344451987044,2.606618220167517,2.8632336507640703,2.4322778144233386,2.6107465274368917,0.08944607160864113,0.10621409206254014,0.09713034574512269,0.0888357668249817,0.10423393808660296,0.09007114584166082,0.08881871135801846
55.0,2.139624441856079,2.3348046018600317,2.3358213896676676,2.6015371827318905,2.8608366076490137,2.4281860300602953,2.606499719911234,0.08997535860928106,0.10685038957967638,0.09777391734692051,0.08933080292544336,0.10471594843285106,0.090590035278643,0.08925324036964555
56.0,2.137328114397682,2.3296177234202675,2.3318740132234237,2.596232132951669,2.8582232306708137,2.4237916556435373,2.6019388370175767,0.09051889143982436,0.10750531256781706,0.09844742754399603,0.08985841631188661,0.10523028320122714,0.0911469779191992,0.08972380515886554
57.0,2.1347733334516974,2.3241490904501214,2.3276070772340574,2.5907154709131097,2.8554013173365633,2.4191118987309896,2.5970822971307927,0.09107298781015406,0.10817861505660815,0.09914981374095261,0.09041829501664173,0.10577888165786542,0.09174229116646548,0.09023088002958095
58.0,2.1319723930420436,2.318411454874752,2.3230353430675827,2.58499959670247,2.852378665153305,2.414163966880577,2.591948518625792,0.09163384857231209,0.10887004446701418,0.09988000055301764,0.09101014295232618,0.10636374030768488,0.0923763323595076,0.09077497911237868
59.0,2.1289375871926945,2.3124175686192596,2.3181735720921033,2.579096910406012,2.849163071628141,2.4089650676502377,2.586555919877476,0.09219754121684086,0.109579340901972,0.1006368959573571,0.09163367987511427,0.10698690962696328,0.09304949792383782,0.09135665369410056
60.0,2.1256812099275564,2.3061801836087787,2.31303652567567,2.5730198121099774,2.84576233426814,2.403532408597885,2.5809229192607677,0.09275998402161793,0.11030623628165431,0.10141938746942294,0.09228864125224372,0.10765048983175726,0.09376222149136221,0.09197648887507151
61.0,2.1222155552705853,2.2997120517684566,2.30763896518633,2.5667807019006514,2.84218425058037,2.3978831972814794,2.5750679351505337,0.09331693097204707,0.11105045331351789,0.10222633832449236,0.09297477799599975,0.10835662565965862,0.09451497086618593,0.09263509949815975
62.0,2.1185529172457476,2.2930259250234184,2.3019956519921556,2.560391979864269,2.838436618071916,2.3920346412589053,2.5690093859217127,0.0938639576800782,0.11181170427941993,0.10305658365001139,0.09369185600655593,0.10910750014880652,0.09530824366977678,0.09333312526832206
63.0,2.114705589876953,2.2861345552987746,2.296121347461198,2.553866046087082,2.834527234249836,2.3860039480881214,2.562765689949199,0.09439644866451034,0.11258968961125962,0.10390892662197314,0.09443965544281001,0.10990532740214887,0.09614256144888042,0.09407122495031542
64.0,2.110685867188165,2.279050694519684,2.2900308129615294,2.5472153006553704,2.8304638966212097,2.3798083253270392,2.556355265607879,0.09490958651919607,0.1133840962127137,0.10478213460853758,0.09521796961377357,0.11075234432621395,0.09701846197286632,0.09485006949610054
